"","id","host_is_superhost","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","amenities","price","cleaning_fee","number_of_reviews","review_scores_rating","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","reviews_per_month","Num.Cultural.Spaces"
"2244",1433440,"f","Columbia City",47.5649176891385,-122.292638593442,"House","Private room",2,1,1,1,"Real Bed","{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets live on this property"",Dog(s),""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}","$65.00","$25.00",14,88,10,9,9,9,9,0.61,107
"2245",2980762,"f","Columbia City",47.5472378045665,-122.273122600981,"House","Private room",2,1,1,1,"Real Bed","{""Wireless Internet"",""Free Parking on Premises"",""Pets live on this property"",Dog(s),Cat(s),Heating,""Family/Kid Friendly"",Essentials,Shampoo}","$65.00","$25.00",22,92,9,10,10,8,9,1.24,73
"2246",1733747,"t","Columbia City",47.5633556933028,-122.298219754194,"House","Private room",2,1.5,1,1,"Real Bed","{Internet,""Wireless Internet"",Kitchen,Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,""Laptop Friendly Workspace""}","$72.00","$15.00",41,97,10,10,10,9,10,1.61,110
"2247",1455269,"t","Columbia City",47.5679147387307,-122.290735631093,"House","Entire home/apt",6,1,3,4,"Real Bed","{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Pets live on this property"",Dog(s),""Indoor Fireplace"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}","$115.00","$25.00",88,97,10,10,10,9,10,3.01,117
"2248",1457330,"f","Columbia City",47.5679107419492,-122.293388424323,"House","Entire home/apt",6,2,3,3,"Real Bed","{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo}","$220.00","$90.00",4,95,10,10,10,9,10,0.22,126
"2249",7420488,"t","Columbia City",47.5466995762533,-122.278029651648,"House","Private room",1,1,1,1,"Real Bed","{""Wireless Internet"",Kitchen,Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher""}","$45.00","$25.00",8,100,9,10,10,8,10,1.55,83
"2250",8902887,"f","Columbia City",47.5685623451845,-122.290538895946,"House","Entire home/apt",3,1,1,1,"Real Bed","{Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}","$90.00","$25.00",6,97,10,10,10,9,10,2.73,120
"2251",5175464,"f","Columbia City",47.5577826910658,-122.282030568972,"Apartment","Entire home/apt",2,1,0,1,"Real Bed","{""Wireless Internet"",Kitchen,Heating,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}","$90.00","$20.00",16,86,9,10,10,9,9,1.42,91
"2252",7411863,"f","Columbia City",47.5613588696051,-122.293909406376,"House","Private room",1,2.5,1,1,"Real Bed","{Internet,""Wireless Internet"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}","$25.00","$10.00",40,92,10,10,9,9,9,7.74,104
"2253",2856806,"f","Columbia City",47.5657540777269,-122.290416380073,"House","Entire home/apt",6,2.5,3,2,"Real Bed","{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",Shampoo}","$175.00","",3,93,7,10,10,9,9,0.15,108
